experiment,status,explain,best_epoch,val_recon_loss,val_mse,val_l1,val_diff_l1,val_sam,T0_mean,tor_percent,coherence0,phi_effective_rank,train_subspace,eligible_for_150,reason
phase1_sam15_select_50,ok,只修 best 选择分数，并把 lambda_sam 从 0.05 提高到 0.15；主损仍用 MSE。,45,0.03538773732725531,0.00032009228016249835,0.008357285521924496,0.0009671534644439816,0.08945673704147339,0.8083964586257935,1.9797967672348022,0.9579311609268188,2.966933488845825,2.3593062363215723e-05,yes,通过筛选门槛
phase1_subspace010_50,ok,在实验 1 基础上加入 subspace_residual=0.1，并关闭旧 coherence 约束。,50,0.03430938418023288,0.00030835249344818294,0.008013310842216015,0.0009612932335585356,0.08701271563768387,0.8085615634918213,1.9759330749511719,0.9579815864562988,2.94523024559021,2.8302540578879418e-05,yes,通过筛选门槛
phase1_charb_50,ok,在实验 2 基础上把主损改成 Charbonnier，并加入二阶差分曲率约束。,50,0.035625797649845484,0.0003854997339658439,0.009089048951864243,0.0009557649027556181,0.08781865239143372,0.7853553295135498,1.9903579950332642,0.946197509765625,3.1277542114257812,3.218390697787982e-05,yes,通过筛选门槛
