results_dir,epochs,best_val_mse,best_val_l1,best_val_sam,coherence0,test_mse,test_l1,test_diff_l1,test_sam,test_psnr,T_mean,tor_percent,fab_mse,fab_sam,lambda_coh,lambda_tor,tor_target_percent
results_25ch_corrquick_base_30,30,0.0015638793120160699,0.018831579014658928,0.16518492996692657,0.9598478674888611,0.0016410044627264142,0.019188016653060913,0.002435598988085985,0.1657102406024933,27.848901748657227,0.81113201379776,1.7332775592803955,0.0017310872208327055,0.173731729388237,0.005,0.01,2.0
results_25ch_corrquick_coh010_30,28,0.0013361659366637468,0.0170589666813612,0.18814513087272644,0.9598581194877625,0.0014120955020189285,0.01748060993850231,0.0028942860662937164,0.18912597000598907,28.501359939575195,0.8111237287521362,1.7240798473358154,0.0014830227786054213,0.1940549910068512,0.01,0.01,2.0
results_25ch_corrquick_coh020_30,29,0.0011672013206407428,0.016215568408370018,0.183280810713768,0.9595123529434204,0.0012296350905671716,0.016580337658524513,0.002419104101136327,0.18356166779994965,29.102237701416016,0.8107700347900391,1.71318519115448,0.0013134867573777835,0.18995491166909537,0.02,0.01,2.0
results_25ch_corrquick_tor30_30,29,0.0015226758550852537,0.018877090886235237,0.18831253051757812,0.9603943228721619,0.0016060644993558526,0.019213123247027397,0.002566549926996231,0.189266636967659,27.942371368408203,0.8115323185920715,1.7620123624801636,0.0017226853718360264,0.19556805988152823,0.005,0.02,3.0
results_25ch_corrquick_coh010_tor25_30,30,0.0013551742304116488,0.017516780644655228,0.18821246922016144,0.9601123332977295,0.0014445882989093661,0.017962926998734474,0.002588939853012562,0.18855756521224976,28.402559280395508,0.811397135257721,1.7591770887374878,0.0015529099619016051,0.19388875861962637,0.01,0.02,2.5
